"Type","Path","Name","Description","Unit"
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 24B\3P DE A-VEL","3P DE A-VEL","","mm/s"
"Machine","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A","140 PM 25A","",""
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A\1M NDE V-VEL","1M NDE V-VEL","","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A\1M NDE H-VEL","1M NDE H-VEL","@001","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A\1M NDE H-ENV3","1M NDE H-ENV3","@001","gE"
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A\1M NDE H-ACC","1M NDE H-ACC","@001","g"
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A\2M DE V-VEL","2M DE V-VEL","","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A\2M DE H-VEL","2M DE H-VEL","@002","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A\2M DE H-ENV3","2M DE H-ENV3","@002","gE"
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A\2M DE H-ACC","2M DE H-ACC","@002","g"
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A\2M DE A-VEL","2M DE A-VEL","","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A\3P DE V-VEL","3P DE V-VEL","","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A\3P DE H-VEL","3P DE H-VEL","@003","mm/s"
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A\3P DE H-ENV3","3P DE H-ENV3","@003","gE"
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A\3P DE H-ACC","3P DE H-ACC","@003","g"
"POINT","\Hierarchy\UP2 DUMAI\HOC\COOKER 140-3000\140 PM 25A\3P DE A-VEL","3P DE A-VEL","","mm/s"
